date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:58	5944/5944	---MCZ	200	added ('OK')	text/html	etag:W/%22686e2ef6-1738%22	https://candlelitsmiles.neocities.org/landing	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/landing.html	(from )
19:25:00	492/492	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22646d1c54-492%22	https://candlelitsmiles.neocities.org/robots.txt		(from )
19:25:04	500/500	---M--	200	added ('OK')	image/png	etag:%22665e5ba9-1f4%22	https://files.catbox.moe/4m8tgt.png	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/files.catbox.moe/4m8tgt.png	(from https://candlelitsmiles.neocities.org/landing)
19:25:05	7381/7381	---MCZ	200	added ('OK')	text/css	etag:W/%22686e2edc-1cd5%22	https://candlelitsmiles.neocities.org/candlestyle.css	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/candlestyle.css	(from https://candlelitsmiles.neocities.org/landing)
19:25:05	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2017:25:06%20GMT	https://candlelitsmiles.neocities.org/links.html	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/links.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:06	22939/22939	---MCZ	200	added ('OK')	text/html	etag:W/%2267f8d768-599b%22	https://candlelitsmiles.neocities.org/musings/	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/musings/index.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:06	2256/2256	---MCZ	200	added ('OK')	text/html	etag:W/%22677e502c-8d0%22	https://candlelitsmiles.neocities.org/links	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/links.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:07	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2017:25:07%20GMT	https://candlelitsmiles.neocities.org/anime/.html	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/anime/.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:07	2401/2401	---M--	200	added ('OK')	image/gif	etag:%22649374b6-961%22	https://candlelitsmiles.neocities.org/eva4.gif	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/eva4.gif	(from https://candlelitsmiles.neocities.org/landing)
19:25:07	977/977	---M--	200	added ('OK')	text/html	etag:%2267f843e3-3d1%22	https://candlelitsmiles.neocities.org/anime/	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/anime/index.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:08	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2017:25:09%20GMT	https://candlelitsmiles.neocities.org/corridor/.html	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/corridor/.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:08	2346/2346	---M--	200	added ('OK')	image/gif	etag:%2264938a36-92a%22	https://candlelitsmiles.neocities.org/door.gif	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/door.gif	(from https://candlelitsmiles.neocities.org/landing)
19:25:09	1040/1040	---MCZ	200	added ('OK')	text/html	etag:W/%2266ecef71-410%22	https://candlelitsmiles.neocities.org/corridor/	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/corridor/index.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:09	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2017:25:10%20GMT	https://candlelitsmiles.neocities.org/music/.html	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/music/.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:10	360/360	---M--	200	added ('OK')	image/gif	etag:%22649383dd-168%22	https://candlelitsmiles.neocities.org/cd.gif	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/cd.gif	(from https://candlelitsmiles.neocities.org/landing)
19:25:10	2019/2019	---MCZ	200	added ('OK')	text/html	etag:W/%2267ae29b8-7e3%22	https://candlelitsmiles.neocities.org/music/	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/music/index.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:10	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2017:25:11%20GMT	https://candlelitsmiles.neocities.org/games/.html	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/games/.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:11	9728/9728	---M--	200	added ('OK')	image/gif	etag:%2264b48c4b-2600%22	https://candlelitsmiles.neocities.org/games.gif	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/games.gif	(from https://candlelitsmiles.neocities.org/landing)
19:25:11	2949/2949	---MCZ	200	added ('OK')	text/html	etag:W/%2268530bbb-b85%22	https://candlelitsmiles.neocities.org/games/	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/games/index.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:12	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2017:25:12%20GMT	https://candlelitsmiles.neocities.org/shrine/.html	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/shrine/.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:12	1581/1581	---M--	200	added ('OK')	image/gif	etag:%2266ed100f-62d%22	https://candlelitsmiles.neocities.org/death.gif	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/death.gif	(from https://candlelitsmiles.neocities.org/landing)
19:25:13	1299/1299	---MCZ	200	added ('OK')	text/html	etag:W/%2266ed1882-513%22	https://candlelitsmiles.neocities.org/shrine/	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/shrine/index.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:14	45476/45476	---M--	200	added ('OK')	image/gif	etag:%2264224432-b1a4%22	https://files.catbox.moe/tvj2rk.gif	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/files.catbox.moe/tvj2rk.gif	(from https://candlelitsmiles.neocities.org/landing)
19:25:14	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2017:25:15%20GMT	https://candlelitsmiles.neocities.org/rubicon/.html	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/rubicon/.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:15	1374/1374	---MCZ	200	added ('OK')	text/html	etag:W/%22686e2f6b-55e%22	https://candlelitsmiles.neocities.org/misc/updates	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/misc/updates.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:15	446/446	---M--	200	added ('OK')	text/html	etag:%2268530ffc-1be%22	https://candlelitsmiles.neocities.org/rubicon/	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/rubicon/index.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:17	11172/11172	---M--	200	added ('OK')	image/png	etag:%226719b5e5-2ba4%22	https://candlelitsmiles.neocities.org/whitegirl.png	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/whitegirl.png	(from https://candlelitsmiles.neocities.org/landing)
19:25:18	1611/1611	---M--	200	added ('OK')	image/png	etag:%2267f8d39f-64b%22	https://candlelitsmiles.neocities.org/candlebuttonone.png	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/candlebuttonone.png	(from https://candlelitsmiles.neocities.org/landing)
19:25:18	1947/1947	---MCZ	200	added ('OK')	text/html	etag:W/%2268530d3d-79b%22	https://candlelitsmiles.neocities.org/	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/index.html	(from https://candlelitsmiles.neocities.org/landing)
19:25:20	1915728/1915728	---M--	200	added ('OK')	application/octet-stream	etag:%2264016c71-1d3b50%22	https://candlelitsmiles.neocities.org/pc-9800.ttf	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/pc-9800.ttf	(from https://candlelitsmiles.neocities.org/candlestyle.css)
19:25:20	1921256/1921256	---M--	200	added ('OK')	application/octet-stream	etag:%2264016c85-1d50e8%22	https://candlelitsmiles.neocities.org/pc-9800-bold.ttf	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/pc-9800-bold.ttf	(from https://candlelitsmiles.neocities.org/candlestyle.css)
19:25:20	141516/141516	---M--	200	added ('OK')	application/octet-stream	etag:%22686e294c-228cc%22	https://candlelitsmiles.neocities.org/Techno.ttf	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/Techno.ttf	(from https://candlelitsmiles.neocities.org/candlestyle.css)
19:25:21	1755/1755	---M--	200	added ('OK')	image/png	etag:%22644ae932-6db%22	https://candlelitsmiles.neocities.org/pink98border.png	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/pink98border.png	(from https://candlelitsmiles.neocities.org/candlestyle.css)
19:25:22	706186/706186	---M--	200	added ('OK')	image/gif	etag:%22641d0af6-ac68a%22	https://files.catbox.moe/0yomk4.gif	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/files.catbox.moe/0yomk4.gif	(from https://candlelitsmiles.neocities.org/candlestyle.css)
19:25:22	1988/1988	---M--	200	added ('OK')	image/png	etag:%22644ae73a-7c4%22	https://candlelitsmiles.neocities.org/pink98borderalt.png	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/pink98borderalt.png	(from https://candlelitsmiles.neocities.org/candlestyle.css)
19:25:23	4637/4637	---M--	200	added ('OK')	image/png	etag:%22644ae741-121d%22	https://candlelitsmiles.neocities.org/pink98bordersidebar.png	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/pink98bordersidebar.png	(from https://candlelitsmiles.neocities.org/candlestyle.css)
19:25:24	652/652	---M--	200	added ('OK')	text/css	etag:%22679fa8a7-28c%22	https://candlelitsmiles.neocities.org/musings/style.css	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/musings/style.css	(from https://candlelitsmiles.neocities.org/musings/)
19:25:25	115314/115314	---M--	200	added ('OK')	image/png	etag:%2266cf95b0-1c272%22	https://files.catbox.moe/1p03uv.png	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/files.catbox.moe/1p03uv.png	(from https://candlelitsmiles.neocities.org/musings/)
19:25:28	135253/135253	---M--	200	added ('OK')	image/png	etag:%2266a00d1e-21055%22	https://files.catbox.moe/8ugps1.png	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/files.catbox.moe/8ugps1.png	(from https://candlelitsmiles.neocities.org/musings/)
19:25:29	127467/127467	---M--	200	added ('OK')	image/png	etag:%2265cce6b3-1f1eb%22	https://files.catbox.moe/b3xv44.png	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/files.catbox.moe/b3xv44.png	(from https://candlelitsmiles.neocities.org/musings/)
19:25:31	1231465/1231465	---M--	200	added ('OK')	image/png	etag:%2264aec1df-12ca69%22	https://files.catbox.moe/ccixsj.png	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/files.catbox.moe/ccixsj.png	(from https://candlelitsmiles.neocities.org/musings/)
19:25:31	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2017:25:32%20GMT	https://candlelitsmiles.neocities.org/landing.html	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/landing-2.html	(from https://candlelitsmiles.neocities.org/anime/)
19:25:33	318368/318368	---M--	200	added ('OK')	image/gif	etag:%22648919b6-4dba0%22	https://candlelitsmiles.neocities.org/anime/madoka.gif	C:/Users/Pakyngl/Downloads/framer/https___candlelitsmiles.neocities.org_landing/candlelitsmiles.neocities.org/anime/madoka.gif	(from https://candlelitsmiles.neocities.org/anime/)
